I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH.	I WANT TO THANK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH.
I WOULD LIKE TO KNOW IF THERE IS ANY CHANCE OF CHANGING THE PROGRAMME BECAUSE WE HAVE FOUND A VERY INTERESTING ACTIVITY TO DO ON TUESDAY 14 MARCH.	I WOULD LIKE TO KNOW IF THERE IS ANY CHANCE OF CHANGING THE PROGRAMME BECAUSE WE HAVE FOUND A VERY INTERESTING ACTIVITY TO DO ON TUESDAY 14 MARCH.
IT INVOLVES VISITING THE LONDON FASHION AND LEISURE SHOW AT THE CENTRAL EXHIBITION HALL.	IT INVOLVES VISITING THE LONDON FASHION AND LEISURE SHOW AT THE CENTRAL EXHIBITION HALL.
I THINK IT'S A GREAT OPPORTUNITY TO MAKE GREATER USE OF OUR KNOWLEDGE OF THE ENGLISH LANGUAGE.	I THINK IT'S A GREAT OPPORTUNITY TO MAKE GREATER USE OF OUR KNOWLEDGE OF THE ENGLISH LANGUAGE.
ALSO, WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL.	ALSO, WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL.
IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT, IN SOME CASS, COSTS MORE THAN THEY DESERVE TO PAY.	IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT, IN SOME CASES, COSTS MORE THAN THEY DESERVE TO PAY.
It is a good start to go on a sightseeing  bus on Monday morning, because we can se all the famous buildings in a few hours.	It is a good start to go on a sightseeing  bus on Monday morning, because we can see all the famous buildings in a few hours.
It will be relaxing to go to Greenwich in the afternoon looking over the river.	It will be relaxing to go to Greenwich in the afternoon looking over the river.
On Wednesday after we have viseted the National Art Gallery, we can have a chat about our next holiday during the free time in the afternoon.	On Wednesday after we have visited the National Art Gallery, we can have a chat about our next holiday during the free time in the afternoon.
Nowadays the main attroction in the newspapers and on television is the private lives of famous people.	Nowadays the main attraction in the newspapers and on television is the private lives of famous people.
On the whole, being rich and famous doesn't always bring happeness, whereas the majority of the population wish they were rich and famous.	On the whole, being rich and famous doesn't always bring happiness, whereas the majority of the population wish they were rich and famous.
We have seen an advertisement in last Saturday's 'The Times' edition of the show.	We have seen an advertisement in last Saturday's 'The Times' edition of the show.
It will be held in Central Exhibition Hall, London on Tuesday March 14 from 10.00 to 19.00.	It will be held in Central Exhibition Hall, London on Tuesday March 14 from 10.00 to 19.00.
Firstly, it will introduce the latest fashions connecting Millenium.	Firstly, it will introduce the latest fashions connecting Millennium.
Secondly, we will be able to see leisure and sportswear about fashion trend of next year.	Secondly, we will be able to see leisure and sportswear about fashion trend of next year.
It would be a fantastic opportunity for the students who study  fashion.	It would be a fantastic opportunity for the students who study  fashion.
Finally, we can see how to do make-up and create better hairstyles in the show.	Finally, we can see how to do make-up and create better hairstyles in the show.
Most of all, it is free for students to enter.	Most of all, it is free for students to enter.
Whenever I recollet it, I feel self-confident.	Whenever I recollect it, I feel self-confident.
When I was twenty years old, I had to go into the Army.	When I was twenty years old, I had to go into the Army.
As you know, my country has been separated into two countries (South and North Korea).	As you know, my country has been separated into two countries (South and North Korea).
However, instead of going into the Army, I was able to apply to join the Korea Auxiliary Police.	However, instead of going into the Army, I was able to apply to join the Korea Auxiliary Police.
On behalf of the class I would like to thank you for the excellent programme you have organized, especially the idea of visiting a galery.	On behalf of the class I would like to thank you for the excellent programme you have organized, especially the idea of visiting a gallery.
I lived in a small village on the ocean.	I lived in a small village on the ocean.
My father was a captain on a huge boat.	My father was a captain on a huge boat.
When I was a child, I used to go with him travelling from harbour to harbour.	When I was a child, I used to go with him travelling from harbour to harbour.
I grew up through the water world and I couldn't live whitout it.	I grew up through the water world and I couldn't live without it.
The home of the Futere	The home of the Future
Technology is changing very fast and at the same time as I'm writing my article about the future maybe technologists have made a new owen which co-operates with your refrigerator and has  a program to make dinner for you every day without  you having to do anything.	Technology is changing very fast and at the same time as I'm writing my article about the future maybe technologists have made a new oven which co-operates with your refrigerator and has  a program to make dinner for you every day without  you having to do anything.
What about rooms which can sense your mood and act according to that?	What about rooms which can sense your mood and act according to that?
If you are tired for example then your stereo might put some relaxing musik on and turn down the light a little bit.	If you are tired for example then your stereo might put some relaxing music on and turn down the light a little bit.
The next step might be a robot which would do all your housework, but what would happen to the people?	The next step might be a robot which would do all your housework, but what would happen to the people?
I think that everyone should think not just about the positive side of technologi but also the negative.	I think that everyone should think not just about the positive side of technology but also the negative.
Thank you for giving us the chance to visit London.	Thank you for giving us the chance to visit London.
We are all excited about the programm you've prepared for us, especially about  visiting the National Art gallery.	We are all excited about the programme you've prepared for us, especially about  visiting the National Art gallery.
We have seen an advertisment for the London Fashion and Leisure Show in a newspaper.	We have seen an advertisement for the London Fashion and Leisure Show in a newspaper.
We think it could be a great opportunity for us because we'll see the fashion show might shop for leisure and sports wear and all the girls in our class are intrested in new styles in make-up and hairdressing.	We think it could be a great opportunity for us because we'll see the fashion show might shop for leisure and sports wear and all the girls in our class are interested in new styles in make-up and hairdressing.
And it is free for students!	And it is free for students!
